Date,Price,Open,High,Low,Vol.,Change %
01/02/2019,31.11,30.55,31.22,30.55,24.46M,0.19%
01/03/2019,30.95,31.07,31.57,30.90,24.83M,-0.51%
01/04/2019,31.15,31.07,31.22,30.90,24.09M,0.65%
01/07/2019,31.51,31.21,31.72,31.06,23.37M,1.16%
01/08/2019,31.73,31.69,31.92,31.30,21.60M,0.70%
01/09/2019,31.63,31.90,32.05,31.59,18.82M,-0.32%
01/10/2019,31.65,31.29,31.66,31.04,28.19M,0.06%
01/11/2019,31.61,31.66,31.76,31.52,16.18M,-0.13%
01/14/2019,31.65,31.49,31.82,31.43,21.26M,0.13%
01/15/2019,32.08,31.82,32.20,31.79,21.17M,1.36%
01/16/2019,32.12,31.98,32.29,31.94,16.23M,0.12%
01/17/2019,32.25,32.11,32.40,32.05,16.84M,0.40%
01/18/2019,32.58,32.32,32.73,32.28,18.36M,1.02%
01/22/2019,32.50,32.38,32.81,32.26,24.19M,-0.25%
01/23/2019,32.90,32.96,33.12,32.51,25.04M,1.23%
01/24/2019,32.79,32.73,32.82,32.14,22.83M,-0.33%
01/25/2019,32.31,32.92,32.97,32.25,21.67M,-1.46%
01/28/2019,32.35,32.18,32.36,32.03,17.63M,0.12%
01/29/2019,32.24,32.26,32.39,32.17,15.76M,-0.34%
01/30/2019,31.60,32.23,32.27,31.42,35.55M,-1.99%
01/31/2019,31.94,31.54,32.29,31.54,44.17M,1.08%
02/01/2019,31.29,31.97,32.00,31.04,37.78M,-2.04%
02/04/2019,31.59,31.29,31.59,31.12,21.81M,0.96%
02/05/2019,31.87,31.75,31.98,31.67,18.30M,0.89%
02/06/2019,31.88,31.81,32.00,31.74,12.79M,0.03%
02/07/2019,32.24,31.70,32.27,31.67,21.03M,1.13%
02/08/2019,31.86,32.11,32.23,31.71,18.51M,-1.18%
02/11/2019,32.07,31.88,32.12,31.88,16.63M,0.66%
02/12/2019,32.32,32.27,32.39,32.17,17.64M,0.78%
02/13/2019,32.65,32.43,32.67,32.36,16.38M,1.02%
02/14/2019,32.84,32.56,33.07,32.34,21.60M,0.58%
02/15/2019,33.33,32.99,33.33,32.95,28.44M,1.49%
02/19/2019,34.07,34.13,34.73,34.02,62.09M,2.22%
02/20/2019,33.29,33.94,34.11,32.88,52.90M,-2.29%
02/21/2019,33.13,33.22,33.31,32.97,19.24M,-0.48%
02/22/2019,33.18,33.27,33.39,33.05,24.26M,0.15%
02/25/2019,33.04,33.37,33.38,33.02,27.70M,-0.42%
02/26/2019,32.90,33.01,33.02,32.62,25.46M,-0.42%
02/27/2019,32.70,32.71,32.80,32.53,23.71M,-0.61%
02/28/2019,33.00,32.70,33.16,32.59,34.13M,0.92%
03/01/2019,32.64,33.16,33.19,32.37,31.06M,-1.09%
03/04/2019,32.62,32.71,32.86,32.46,23.05M,-0.06%
03/05/2019,32.78,32.71,33.06,32.70,18.36M,0.49%
03/06/2019,32.75,32.76,33.00,32.62,14.09M,-0.09%
03/07/2019,32.48,32.57,32.73,32.41,18.38M,-0.82%
03/08/2019,32.53,32.52,32.81,32.33,16.98M,0.15%
03/11/2019,32.83,32.68,32.86,32.61,16.04M,0.92%
03/12/2019,32.79,32.84,32.91,32.68,15.21M,-0.12%
